country,sect,t,upstreamness,downstreamness,u_n,u_d,d_n,d_d,source
USA,14.0,2018,2.26143652583117,1.6289177400471,812663.931293581,359357.391645071,330816.061035343,203089.482606886,ADB
USA,14.0,2019,2.14747709103649,1.49515896384963,798537.244033109,371849.016395183,309730.824456939,207155.782057759,ADB
USA,14.0,2020,2.04473343675402,1.47991624276212,802789.083692117,392613.075749636,348524.421626218,235502.801817845,ADB
USA,14.0,2021,2.08253906578303,1.68875494059353,760516.728508557,365187.256750261,402927.098314695,238594.178841059,ADB
USA,14.0,2022,2.01673451571951,1.72870835324983,776498.432901319,385027.591311039,476897.696539041,275869.377065549,ADB
USA,14.0,2023,1.99031435315789,1.70535649270304,801722.085737602,402811.78923599,491930.279915817,288461.844793573,ADB
USA,14.0,2024,1.97357663188009,1.68149402887457,802046.245324346,406392.248655829,492895.172345104,293129.302799249,ADB
USA,15.0,2000,1.79427088860752,2.52699109098726,377222.005792018,210236.931439471,914850.75553043,362031.650524344,ADB
USA,15.0,2007,1.819005532502,2.63334560137137,439060.381498076,241373.857117498,1139461.5763564,432704.911866868,ADB
USA,15.0,2008,1.84359434358285,2.64972356173752,388266.43710677,210602.966134194,1000771.04152613,377688.848745373,ADB
USA,15.0,2009,1.81082665526815,2.50251878181671,317672.456120357,175429.522862482,789969.087187123,315669.593741727,ADB
USA,15.0,2010,1.86804788394079,2.61220138317087,378758.389142766,202756.252877066,925218.705289455,354191.185737127,ADB
USA,15.0,2011,1.8356953097324,2.65002734223714,419096.387298434,228303.893939527,1089367.40847181,411077.799503823,ADB
USA,15.0,2012,1.81900237170583,2.639346797893,438862.646389179,241265.571290939,1187529.92673575,449933.266702111,ADB
USA,15.0,2013,1.82095602326919,2.66678504314625,462909.209022566,254212.184757488,1267900.31194791,475441.511570822,ADB
USA,15.0,2014,1.77464530457792,2.69826976389175,474431.735839454,267338.906887814,1452271.73692397,538223.329764233,ADB
USA,15.0,2015,1.79830669958042,2.68275362901638,507441.298695749,282177.283115358,1525900.62437234,568781.496693682,ADB
USA,15.0,2016,1.78312861321584,2.63822079483225,517327.483437804,290123.482739034,1485307.41787513,562995.872363887,ADB
USA,15.0,2017,1.79365150106394,2.60808747160859,553189.738680573,308415.396386888,1554670.80685046,596096.114020127,ADB
USA,15.0,2018,1.8554017689804,2.67008706485846,557644.125263861,300551.683515051,1562684.17107678,585255.886088351,ADB
USA,15.0,2019,1.79141916709498,2.55641181837733,567616.854624045,316853.17710679,1524807.37332157,596463.903961075,ADB
USA,15.0,2020,1.70062850339914,2.50881301973688,502365.17728183,295399.716209464,1372858.48149344,547214.348256778,ADB
USA,15.0,2021,1.657214706017,2.64313229498459,478762.959840162,288896.156968602,1543246.33770019,583870.25902129,ADB
USA,15.0,2022,1.68646651355901,2.67182919688155,531105.347771906,314921.964653241,1715899.56548498,642219.033869272,ADB
USA,15.0,2023,1.71154317802019,2.59198648565369,623611.868083728,364356.491902871,1840680.9359545,710142.952574184,ADB
USA,15.0,2024,1.72282805007698,2.59228801205275,659303.693018957,382686.881020712,1923722.95445482,742094.607354791,ADB
USA,16.0,2000,1.58920000013904,2.0815736485115,147169.30507032,92605.90552318428,248918.527165019,119581.897735407,ADB
USA,16.0,2007,1.61288743302859,2.19921559916627,168895.53503274,104716.257051862,311918.44859058,141831.682491171,ADB
USA,16.0,2008,1.5913410826234,2.21061402502151,165660.637750019,104101.276312756,321142.757299317,145273.102253204,ADB
USA,16.0,2009,1.54325227377486,1.97327145829487,163398.002383163,105878.996687615,262252.826955459,132902.559276905,ADB
USA,16.0,2010,1.58517973687499,2.07071096825375,163841.447099155,103358.277479721,269091.105536199,129951.069783112,ADB
USA,16.0,2011,1.58208172497859,2.1535895555278,159372.085373189,100735.684419429,289680.3077264,134510.453481191,ADB
USA,16.0,2012,1.60756997304478,2.15434614340169,164048.637218778,102047.587333362,291313.469482404,135221.292258274,ADB
USA,16.0,2013,1.648204069005,2.20915453211728,168537.255867664,102255.090274961,304742.073190536,137945.113734741,ADB
USA,16.0,2014,1.66784821145805,2.21004741732818,176084.257643843,105575.709128775,308996.422322048,139814.385835941,ADB
USA,16.0,2015,1.66155525142648,2.19501389713226,182356.816667689,109750.678775883,323311.032351292,147293.387423966,ADB
USA,16.0,2016,1.65773014990983,2.12888762054077,183974.44007,110979.727357922,300033.223261285,140934.270257568,ADB
