country,sect,t,upstreamness,source
USA,33,2024,1.022994815,adb
USA,34,2014,1.726630364,adb
USA,34,2015,1.695315475,adb
USA,34,2016,1.683406442,adb
USA,34,2017,1.682221506,adb
USA,34,2018,1.734844701,adb
USA,34,2019,1.738050105,adb
USA,34,2020,1.861637071,adb
USA,34,2021,1.876148606,adb
USA,34,2022,1.907632152,adb
USA,34,2023,1.87015499,adb
USA,34,2024,1.865411512,adb
USA,35,2014,1.488605902,adb
USA,35,2015,1.466380815,adb
USA,35,2016,1.459214231,adb
USA,35,2017,1.493012056,adb
USA,35,2018,1.507552503,adb
USA,35,2019,1.508581072,adb
USA,35,2020,1.00070884,adb
USA,35,2021,1.000893681,adb
USA,35,2022,1.001094983,adb
USA,35,2023,1.001602561,adb
USA,35,2024,1.001314873,adb
USA,,2014,1.789960893,adb
USA,,2015,1.757001588,adb
USA,,2016,1.739593391,adb
USA,,2017,1.784399375,adb
USA,,2018,1.788613428,adb
USA,,2019,1.777117412,adb
USA,,2020,1.738499003,adb
USA,,2021,1.768646456,adb
USA,,2022,1.806128495,adb
USA,,2023,1.760006922,adb
USA,,2024,1.752735157,adb
,,,1.954804292,
