disaster_subtype,event_name,start_date,end_date,affected_states,magnitude_kph,total_damage_adjusted
Tornado,2013_jan_storm1,2013/1/29,2013/1/30,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming",,403966
Tornado,2013_nov_storm1,2013/11/16,2013/11/18,"Illinois, Indiana, Kentucky, Michigan, Missouri, Ohio, Wisconsin",305,1750518
Blizzard/Winter storm,2013_nov_storm2,2013/11/24,2013/11/24,"Arizona, California, New Mexico, Oklahoma, Texas",,2693
Blizzard/Winter storm,Cleon and Dion,2013/12/1,2013/12/9,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, West Virginia",,134655
Blizzard/Winter storm,2013_feb_storm3,2013/2/24,2013/2/25,"Louisiana, Oklahoma, Texas",,1481208
Blizzard/Winter storm,2013_feb_storm1,2013/2/8,2013/2/9,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont",,134655
Blizzard/Winter storm,2013_feb_storm2,2013/2/9,2013/2/11,"Alabama, Arkansas, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Nebraska, North Carolina, North Dakota, Ohio, South Carolina, South Dakota, Tennessee, Virginia, West Virginia, Wisconsin",,134655
Severe weather,2013_mar_storm1,2013/3/18,2013/3/19,"Louisiana, Mississippi, South Carolina",,2962415
Severe weather,2013_apr_storm2,2013/4/17,2013/4/19,"Colorado, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Montana, Nebraska, New Mexico, North Dakota, Ohio, Oklahoma, South Dakota, Texas, Wisconsin, Wyoming",,1481208
Severe weather,2013_apr_storm1,2013/4/7,2013/4/11,"Alabama, Arkansas, California, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming",,2154484
Tornado,2013_may_storm1,2013/5/15,2013/5/17,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wyoming",285,403966
Tornado,2013_may_storm2,2013/5/18,2013/5/22,"Alabama, Arkansas, Colorado, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Vermont, Virginia, West Virginia, Wisconsin, Wyoming",,4174312
Tornado,2013_may_storm3,2013/5/26,2013/6/6,"Colorado, Connecticut, Illinois, Indiana, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Dakota, Texas, Vermont, Wisconsin, Wyoming",,2827760
Lightning/Thunderstorms,2013_jun_storm1,2013/6/12,2013/6/13,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, North Dakota, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Vermont, Virginia, West Virginia, Wisconsin",,1211897
Lightning/Thunderstorms,2013_aug_storm1,2013/8/2,2013/8/3,"Colorado, Montana, Wyoming",,403966
Blizzard/Winter storm,2014_jan_storm1,2014/1/1,2014/1/5,"Connecticut, Illinois, Indiana, Iowa, Kansas, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Dakota, Ohio, Pennsylvania, Rhode Island, South Dakota, Vermont, Wisconsin",,278262
Blizzard/Winter storm,2014_jan_storm2,2014/1/26,2014/1/29,"Alabama, Georgia, Louisiana, Mississippi, North Carolina, South Carolina",,331264
Lightning/Thunderstorms,2014_oct_storm1,2014/10/12,2014/10/14,"Alabama, Arkansas, Illinois, Kentucky, Louisiana, Mississippi, Texas",160,225260
Blizzard/Winter storm,2014_nov_storm1,2014/11/15,2014/11/19,"Michigan, New Hampshire, New York",,132506
Blizzard/Winter storm,2014_feb_storm2,2014/2/11,2014/2/14,"Georgia, Maryland, New York, North Carolina, Pennsylvania, South Carolina, Virginia",,993793
Blizzard/Winter storm,2014_feb_storm1,2014/2/2,2014/2/6,"Colorado, Connecticut, Illinois, Indiana, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Dakota, Texas, Vermont, Wisconsin, Wyoming",,331264
Blizzard/Winter storm,2014_feb_storm3,2014/2/28,2014/3/4,"California, Colorado, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Montana, Nebraska, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, South Dakota, Tennessee, Texas, Wisconsin, Wyoming",,2650
Severe weather,2014_apr_storm1,2014/4/27,2014/5/1,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming",,2650114
Lightning/Thunderstorms,2014_may_storm1,2014/5/18,2014/5/23,"Arizona, Colorado, Connecticut, Idaho, Illinois, Indiana, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Dakota, Texas, Utah, Vermont, Wisconsin, Wyoming",110,5167722
Lightning/Thunderstorms,2014_jun_storm1,2014/6/3,2014/6/6,"Arkansas, Iowa, Kansas, Nebraska, Washington, Wyoming",128,2120091
Lightning/Thunderstorms,2014_jul_storm1,2014/7/26,2014/7/27,"Colorado, Connecticut, Illinois, Indiana, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Dakota, Tennessee, Texas, Vermont, Wisconsin, Wyoming",60,357765
Tropical cyclone,Iselle,2014/8/8,2014/8/10,Hawaii,95,87454
Blizzard/Winter storm,2015_jan_storm2,2015/1/26,2015/1/28,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island",104,105879
Blizzard/Winter storm,2015_jan_storm3,2015/1/31,2015/2/4,"Connecticut, Illinois, Indiana, Massachusetts, Michigan, New York",,198523
Blizzard/Winter storm,2015_jan_storm1,2015/1/6,2015/1/11,"Illinois, Pennsylvania, Wisconsin",,132349
Tropical cyclone,Joaquin,2015/10/1,2015/10/13,"North Carolina, South Carolina",,2646974
Lightning/Thunderstorms,2015_oct_storm1,2015/10/29,2015/11/3,"Louisiana, Texas",,357341
Blizzard/Winter storm,2015_nov_storm1,2015/11/25,2015/12/4,"Kansas, Oklahoma, Texas",,185288
Tornado,2015_dec_storm1,2015/12/26,2015/12/30,"Alabama, Arkansas, Georgia, Illinois, Indiana, Kentucky, Mississippi, Missouri, New Mexico, Oklahoma, Tennessee, Texas",,2646974
Blizzard/Winter storm,2015_feb_storm1,2015/2/16,2015/2/22,"Illinois, Kentucky, Maine, Maryland, Massachusetts, Michigan, New Hampshire, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Vermont, Virginia",,3970461
Blizzard/Winter storm,Octavia,2015/2/16,2015/2/22,"Georgia, Kansas, Maryland, North Carolina, Ohio, South Carolina, Tennessee, Virginia",,132349
Tornado,2015_mar_storm2,2015/3/25,2015/3/26,"Arkansas, Kansas, Missouri, Oklahoma",110,661744
Blizzard/Winter storm,2015_mar_storm1,2015/3/3,2015/3/5,"Arkansas, Kentucky, New York, Pennsylvania, Virginia, West Virginia",,224993
Tornado,2015_apr_storm2,2015/4/24,2015/4/28,"Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, Texas",,1257313
Tornado,2015_apr_storm1,2015/4/7,2015/4/10,"Arkansas, Illinois, Indiana, Iowa, Kansas, Kentucky, Michigan, Missouri, North Carolina, Ohio, Oklahoma, Pennsylvania, Tennessee, Texas, Virginia, West Virginia, Wisconsin",,1852882
Tornado,2015_may_storm1,2015/5/3,2015/5/5,"Iowa, Kansas, Minnesota, Nebraska, Oklahoma, Texas, Wisconsin",,211758
Lightning/Thunderstorms,2015_may_storm3,2015/5/6,2015/5/13,"Colorado, Kansas, Minnesota, Missouri, Nebraska, Oklahoma, South Dakota, Texas",130,1852882
Tornado,2015_may_storm2,2015/5/6,2015/5/13,"Arkansas, Colorado, Iowa, Kansas, Oklahoma, South Dakota, Texas",,1323487
Lightning/Thunderstorms,2015_jun_storm1,2015/6/3,2015/6/8,"Colorado, Illinois",,860267
Severe weather,2015_jul_storm1,2015/7/12,2015/7/14,"Illinois, Indiana, Iowa, Kentucky, Minnesota, Missouri, North Carolina, Ohio, South Carolina, Tennessee, Wisconsin",,926441
Severe weather,2015_aug_storm1,2015/8/2,2015/8/4,"Connecticut, Illinois, Indiana, Maine, Massachusetts, Michigan, New Hampshire, New York, Ohio, Rhode Island, Wisconsin",95,1257313
Blizzard/Winter storm,Jonas,2016/1/23,2016/1/26,"Delaware, Georgia, Kentucky, Maryland, New Jersey, New York, North Carolina, Pennsylvania, Tennessee, Virginia, Washington, West Virginia",,718849
Severe weather,2016_jan_storm1,2016/1/4,2016/1/8,California,,163375
Tropical cyclone,Matthew,2016/10/8,2016/10/12,"Florida, Georgia, North Carolina, South Carolina, Virginia",,13069979
Blizzard/Winter storm,2016_nov_storm1,2016/11/26,2016/12/1,"Alabama, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee",,359424
Blizzard/Winter storm,2016_dec_storm1,2016/12/13,2016/12/19,"Indiana, Maryland, Michigan, Missouri, New Mexico, Ohio, Oklahoma, Virginia",,130700
Blizzard/Winter storm,2016_feb_storm1,2016/2/22,2016/2/25,"Alabama, Connecticut, Florida, Georgia, Louisiana, Maryland, Massachusetts, Mississippi, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Texas, Virginia",,1568397
Severe weather,2016_mar_storm2,2016/3/17,2016/3/18,"Florida, Louisiana, Mississippi, Texas",,1568397
